Exam Subject,Schools,Students (9th Grade),Students (10th Grade),Students (11th Grade),Students (12th Grade),Students (Not High School),Students (> 9th Grade),Students (Grade Not Known),Students (Male),Students (Female),Students (White),Students (Black),Students (Hispanic/Latino),Students (Asian),Students (American Indian/Alaska Native),Students (Native Hawaiian/Pacific Islander),Students (Two or More Races),Students (Other Race),Students (Race Not Known),All Students (2015),All Students (2016),% Change 2015-2016,Colleges
ART HISTORY,2054,345,4252,8420,12097,14,1,394,8531,16992,12972,1210,5632,3484,65,54,1101,34,318,23314,25523,9,1239
BIOLOGY,11170,3995,32208,90509,108072,151,37,3108,93050,145030,122199,15452,40876,39395,683,344,9873,231,2923,223479,238080,7,2775
CALCULUS AB,14368,727,7651,83254,212023,910,98,3552,156673,151542,164060,15379,49747,49419,721,451,11395,396,2888,302532,308215,2,3012
CALCULUS BC,7418,451,4483,35233,82863,583,62,1256,72333,52598,59497,2969,12042,31893,162,131,4700,244,1057,118707,124931,5,1914
CHEMISTRY,9233,338,13940,85519,51785,402,24,1457,77370,76095,76760,7106,20568,32106,365,197,5997,142,1551,152745,153465,0,2383
CHINESE LANGUAGE & CULTURE,1776,1456,3114,4092,3541,23,73,225,5721,6803,915,93,210,8367,6,12,305,18,330,11633,12524,8,546
COMPUTER SCIENCE A,4810,1365,10374,19934,25334,149,70,711,44431,13506,26698,2027,6256,15913,88,71,2415,83,828,48994,57937,18,1567
MACROECONOMICS,5105,557,4432,20280,106662,667,12,2028,73489,61149,63076,6900,25893,22350,268,191,4601,240,1360,126267,134638,7,2228
MICROECONOMICS,4192,520,4513,18333,57072,714,12,1224,47327,35061,39332,2999,10247,14187,120,88,2623,143,830,78408,82388,5,1901
ENGLISH LANGUAGE & COMPOSITION,13142,334,15323,471292,52145,126,8,8347,204927,342648,285273,43217,118290,57811,1932,1072,23826,356,7580,527274,547575,4,3246
ENGLISH LITERATURE & COMPOSITION,14156,95,2477,49427,348033,140,7,5267,150418,255028,214114,33996,84532,41602,1329,679,16677,748,4028,401076,405446,1,3315
ENVIRONMENTAL SCIENCE,6133,5041,11025,53415,77230,52,115,2218,66776,82320,80484,10555,30015,17272,474,277,6255,232,1812,138703,149096,7,2459
EUROPEAN HISTORY,4714,1157,69194,14481,22569,25,18,1587,50399,58632,61237,4251,20025,15131,295,183,4841,75,1313,107267,109031,2,2012
FRENCH LANGUAGE & CULTURE,3267,264,1379,5847,14142,10,102,307,7011,15040,11297,1589,3301,2592,20,21,900,51,297,22804,22051,-3,1215
GERMAN LANGUAGE & CULTURE,1144,100,389,900,3417,2,62,75,2508,2437,3611,80,360,254,7,5,182,7,59,5103,4945,-3,713
GOVERNMENT & POLITICS: COMPARATIVE,1303,103,1879,4076,15541,20,6,376,11075,10926,12738,1252,2758,2810,43,39,938,48,285,21367,22001,3,1166
GOVERNMENT & POLITICS: U.S.,9234,8222,28563,40802,214125,76,55,4265,138895,157213,161336,20624,60856,34900,952,477,12145,434,3187,282571,296108,5,2973
HUMAN GEOGRAPHY,4730,115711,31855,15003,18428,19,97,3550,81294,103369,93191,15399,41002,20459,607,303,8312,48,2817,159609,184663,16,2160
ITALIAN LANGUAGE & CULTURE,486,56,136,390,2127,9,18,38,1014,1760,1618,56,722,131,3,       ,63,1,25,2573,2774,8,399
JAPANESE LANGUAGE & CULTURE,666,187,413,662,1164,0,6,49,1079,1402,360,41,143,1190,       ,3,368,2,43,2431,2481,2,329
LATIN ,1114,14,374,2212,3907,4,1,72,3250,3334,4444,228,426,1042,16,7,302,15,77,6571,6584,0,585
